Spirosoma	0	0	0	0	0	0	0	0	0	0.00337	0	0	0.00113	0	0	0	0.00367	0.01144	0.00062	0.00067	0.03814	0.01529	0.03426	0.02513	0.00176	0	0	0.00076	0	0	0	0	0.00178	0	0.01441	0
Runella	0.00274	0.00129	0.00454	0.00225	0.00638	0.00481	0	0.00889	0	0.00687	0.00161	0.00236	0.00871	0.00139	0	0.01545	0.01036	0.01055	0.01723	0.01808	0.03647	0.02554	0.01032	0.04046	0.00132	0	0	0	0	0	0	0	0	0.00068	0	0
Cytophaga	0.00294	0.01672	0.01143	0.00315	0.01669	0.02284	0.0015	0.00615	0.00124	0.00444	0.01292	0.02086	0.005	0.00485	0.01762	0.09142	0.02184	0.09364	0.02608	0.01825	0	0.16909	0.01258	0.01408	0.01355	0.00381	0	0.02722	0.0248	0.03417	0.03105	0.00981	0.00381	0.02793	0.016	0.0264
Sporocytophaga	0.00724	0.00849	0.01438	0.00337	0.00081	0.00601	0.01455	0	0.00302	0.00283	0.00969	0	0.02855	0.00277	0	0.02455	0.00319	0.01258	0.01638	0.02662	0.00877	0.03328	0.00516	0	0.01355	0.00278	0	0.00571	0	0.00024	0.0136	0.00414	0.00839	0.00303	0.0068	0
Hydrogenispora	0.06122	0.08729	0.07186	0.07257	0.06258	0.02405	0.1863	0.1221	0.07132	0.05926	0.2401	0.1356	0.00452	0.10091	0.01609	0.00063	0.00064	0.00247	0.00037	0	0.00186	0.00162	0.00186	0.00089	0.05527	0.05287	0.01349	0.14964	0.00797	0.04075	0.11059	0.01972	0.07639	0.01592	0.14083	0.00396
Nitrolancea	0.01467	0	0.0069	0.00359	0.00122	0.00292	0.00255	0	0.00621	0.01885	0.00211	0	0	0.00867	0	0.00275	0	0.00786	0.00086	0.0087	0.00084	0.00162	0	0	0	0	0	0.00057	0	0	0	0.00096	0	0	0	0
Parerythrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00041	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloronema	0	0	0	0	0	0	0	0	0	0	0	0.00177	0.00177	0	0	0.00063	8e-04	0	0	0.00787	0	9e-04	0.00083	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Chloroploca	0.01505	0.0018	0.00587	0.00359	0.00149	0.00137	0.0144	0.00342	0.00497	0.01266	0.0082	0	0.00452	0.00433	0.00186	0	8e-04	0.00247	0.00062	0.00251	0	0	0	0	0	0	0	0	0.00148	0	0	0.00164	0	0	0	0
Herpetosiphon	0	0	0	0.00225	0.00624	0.00773	0	0	0	0.00377	0.00273	0.00276	0	0.00364	0.00678	0.01227	0.00558	0.00314	0.00086	0	0.00118	0.00108	0	0.02121	0	0	0	0	0.00561	0	0	0.00096	0	0	0	0
Oscillochloris	0	0	0	0	0.00081	0	0	0	0	0.00741	0	0	0.03645	0.00139	0	0.00466	0.01578	0.00247	0.00135	0	0	0	0.00454	0	0.00066	0	0	0	0	0	0	0	0	0	0	0
FFCH7168	0.00899	0.00116	0.0066	0	0.00054	0.00034	0.01065	0.00308	0	0.00768	0.00037	0	0.03613	0.00295	0.00644	0.00254	0.01339	0.01303	0.01206	0.00586	0.00169	0.0099	0.01155	0	0.02919	0.00249	0.00172	0.0061	0.0062	0.00236	0.00385	0.01146	0.01525	0.00107	0.018	0
Sphaerobacter	0.01212	0.00566	0.01305	0.00741	0.00733	0.00841	0.01935	0.01505	0.011	0.00592	0.00845	0.00846	0	0.00936	0.00457	0	0	0	0	0	0	0	0	0	0.00187	0.00205	0.00196	0.01219	0.0062	0.0066	0.01156	0.00539	0.00369	0	0.01	0
Roseiflexus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00064	0	0	0	0.00068	0.00252	0	0	0	0	0	0	0	0	0	0.00067	0	0	0	0
Oleiharenicola	0.84773	0.33774	0.64786	0.6596	0.5992	0.45813	0.38895	0.33038	0.76538	1.39117	0.49501	0.93694	1.06456	1.24779	1.95576	1.18063	0.84847	1.20561	1.05009	1.28244	1.05587	1.23646	0.63709	0.78428	1.59247	0.8424	1.15509	1.22002	1.77517	2.11414	1.60554	1.99735	1.16936	1.02873	1.84709	1.26044
