Aquihabitans	0.24167	0.04193	0.07903	0.24741	0.08924	0.10162	0.02547	0.10332	0.20332	0.4527	0.02231	0.06067	0.00553	0.3112	0.11696	0.03998	0.04391	0.05319	0.00832	0.01069	0.02104	0.07076	0.03344	0.05288	0.03441	0.11297	0.02503	0	0.11521	0	0	0.12575	0.01921	0.02403	0.0182	0.05553
Iamia	0.32288	0.15441	0.40428	0.52773	0.13433	0.41623	0.05857	0.07901	0.27916	0.71884	0.03655	0.41509	0.17062	0.73191	0.56314	0.12994	0.08965	0.43632	0.1066	0.14502	0.20251	0.22521	0.33352	0.27648	0.05856	0.21804	0.11099	0.06083	0.54805	0.0358	0.03468	0.51556	0.07218	0.03934	0.01593	0.09881
Coprothermobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00569	0
GW2011 GWC1 47 15	0.0029	0	0	0	0.00672	0	0	0	0	0	0	0	0	0	0	0.03399	0	0	0.00907	0.01221	0.00175	0	0	0.00955	0.01079	0.01422	0	0.00793	0	0.00358	0	0	0	0.05333	0.02161	0.00569
Anaerospora	0	0.00599	0	0	0	0	0	0	0	0	0	0	0.01659	0	0	0.01499	0.34856	0.22752	0.24344	0	0.00263	0	0.00352	0.00382	0	0.00632	0	0.01455	0	0.00358	0	0	0.01523	0.01093	0.20365	0.00394
Rubrobacter	0	0.00133	0	0	0	0	0	0	0	0.00227	0	0	0	0	0.00283	0.004	0.01098	0.0325	0.00832	0	0.01052	0	0	0.00638	0	0.00632	0	0	0	0	0	0.00838	0.00199	0.00262	0	0.00349
Candidatus Omnitrophus	0.01063	0.01864	0.01045	0.02095	0.02207	0.01563	0.02631	0.0081	0.01158	0.06824	0.01798	0.03085	0.09875	0.00976	0.02453	0.15291	0.02653	0.03249	0.10737	0.26486	0.27965	0.15826	0.16984	0.11149	0.03339	0.01027	0.02502	0.0119	0.00623	0.01074	0.01576	0.03294	0.01325	0.02317	0.04324	0.05072
Candidatus Berkiella	0.22427	0.199	0.12736	0.32422	0.1161	0.11725	0.26486	0.20665	0.24756	0.22293	0.18959	0.14367	0.02923	0.10518	0.01793	0.04398	0.03384	0.04431	0.01663	0.07404	0.02192	0.03347	0.02112	0.06625	0.00719	0.03002	0.01088	0.00397	0	0	0.0021	0.00539	0.02318	0.01355	0.00341	0.01444
Desulfuromonas	0	0	0	0	0	0	0	0	0	0	0	0	0.0079	0	0.00094	0.06197	0.13083	0.32602	0.01663	0.04351	0	0	0	0	0.00771	0	0	0	0	0	0	0	0	0	0	0
Roseimaritima	0.02513	0.00466	0.0307	0.01496	0.01439	0.00293	0.00764	0.00608	0.01159	0.09403	0.06691	0.04257	0	0.01952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
