Haliscomenobacter	0	0	0	0	0.11603	0	0.00629	0.11191	0.11844	0	0.07205	0.11567	0.04065	0.0492	0.08533	0.03861	0.03093	0	0	0	0	0	0	0	0	0	0.15448	0	0	0	0	0.07661	0	0.01896	0	0
Ferruginibacter	1.04902	0.37385	0.21867	0.34201	0.48493	0.23956	0.25803	0.06217	0	0.20818	0	0.06821	0	0.3247	0.56073	0.37906	0.2342	0.07716	0.26231	0.37412	0.70744	0.65629	0.24783	0	0.25797	0.65506	0.32269	0.7043	0	0.13314	0.384	0.1379	0.06723	0.14357	0.82914	0.47823
Aurantisolimonas	0	0	0	0.01598	0.52064	0	0	1.86513	1.17699	0.38261	0.25217	0.58427	0	0.37636	0	0.68089	0.09943	0.02251	0	0.07195	0	0	0.08421	0.08133	0.04837	0	0	0	0	0	0	0	0	0	0	0
Sediminibacterium	0.14794	0.2412	0.04473	0.57214	0.12495	0.26134	0.03147	0.05803	0	0	0.02882	0	0	0.11561	0.2377	0	0.05082	0.10288	0.31391	0.21584	0	0.06529	0.15881	0	0	0.12695	0.05836	0.06746	0.4362	0	0.06049	0.0383	0.58675	0.09752	0.45142	0.1743
Gynurincola	0	0	0	0.0032	0	0	0	0	0	0	0	0	0.04065	0	0	0.02808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04208	0.06895	0	0	0.05528	0
Niabella	0	0	0	0	0	0	0	0	0.46636	0.11534	0	0	0.1626	0.04182	0	0.15092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Puia	0	0	0	0	0.0476	0	0.16783	0	0	0	0	0.15422	0	0.52641	0	0	0	0.0418	0	0	0.21191	0.30925	0.09144	0.28917	0.08465	0.15996	0	0	0	0	0	0	0	0	0	0
Panacibacter	0	0	0	0	0.1309	0	0	0.21552	0.48116	0.13504	0.13329	0	0.04743	0.81175	0	0.27727	0.35351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga	0.09751	0.14874	0.03727	0	0	0.17786	0.08811	0.10362	0.49597	0.23069	0	0.08601	0.1355	0.04428	0	0.3615	0	0.1929	0.44292	0.62834	0.06545	0.10995	0	0	0	0	0.05149	0.56668	0.17122	0.38527	0	0	0.03362	0.18149	0.13819	0
Flavisolibacter	0	0	0	0	0.10413	0	0	0	0	0.0647	0	0.05042	0	0	0	0.1439	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24363	0	0	0	0	0	0
Segetibacter	0	0	0	0	0	0	0	0	0	0	0	0.19575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lacibacter	0	0	0	0.01918	0.37188	0.39201	0.04196	0.80822	0.68843	0.61329	0.4539	0.72663	0.8977	0.76255	0	0.72651	1.52452	0	0.043	0	0	0	0	0.13554	0	0.02285	0	0.02429	0	0	0.02104	0.05618	0	0	0.21189	0.08045
Solitalea	0	0	0	0.02237	0	0	0	0	0	0	0	0	0	0	0	0.02808	0.02209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04597	0	0	0	0
Parafilimonas	0	0	0	0	0	0	0	0	0	0.07033	0	0	0	0.11562	0	0	0	0	0	0.08154	0	0	0	0	0	0.02539	0	0	0	0	0	0	0	0	0	0
Flavitalea	0.06724	0.18894	0.24849	0.26849	0	0	0.04825	0	0	0	0	0	0	0	0.14628	0	0	0.18005	0.16341	0.31177	0.07791	0.15806	0.08422	0	0	0	0.13388	0.15651	0.17122	0.3796	0.23672	0.14556	0.19864	0.19774	0.20268	0.26817
Paraflavitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10931	0.28811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UTBCD1	0	0	0	0	0	0	0	0.31086	0	0	0	0.14829	0.29133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavihumibacter	0	0	0.03727	0.12146	0.07438	0	0	0.14921	0	0.1069	0.10807	0	0	1.39965	0	0	0	0	0	0.20145	0	0	0	0	0	0	0	0	0	0.06232	0	0	0	0	0	0
Agriterribacter	0	0.1005	0	0.06073	0.44328	0	0.02098	0	0	0	0	0	0	0.08117	0	0	0	0.08681	0.32251	0.17267	0	0.15462	0.05294	0	0	0	0	0	0.07746	0.16997	0.09206	0.05107	0.14363	0.15982	0.27638	0.05363
Pseudoflavitalea	0.03362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasegetibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phaeodactylibacter	0.03026	0	0	0	0.1309	0.06534	0	0.315	0	0.18286	0.20533	0.28472	0.34214	0.36159	0.28037	0.61421	0.62969	0.18969	0	0.18706	0	0	0	0	0	0.0914	0	0.33191	0.35874	0.40227	0	0.09193	0	0.20858	0.32244	0.13855
Pedobacter	0	0	0.07703	0	0.0476	0.43921	0.22656	0.06632	0	0	0.03963	0	0	0.05658	0	0	0	0	0	0	0	0	0	0	0	0.21074	0.06179	0.03238	0	0	0	0.08938	0.22614	0	0.07984	0
Daejeonella	0	0	0	0.06393	0	0.12704	0	0	0	0	0	0	0	0	0	0	0	0	0.0516	0	0	0	0	0	0	0	0	0	0	0.10198	0.08417	0	0	0	0	0
Sphingobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01203	0	0	0	0	0	0	0	0	0	0	0	0	0
Aureispira	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mucilaginibacter	0.03698	0	0	0	0	0.0363	0	0	0	0	0	0	0	0	0	0.01755	0	0	0.0559	0	0	0	0.11791	0	0	0	0	0.11874	0.09376	0	0.03682	0	0.05195	0	0	0.12961
Arcticibacter	0	0	0	0	0	0	0	0	0	0.02813	0	0	0	0	0	0	0	0	0	0.09593	0	0	0	0	0	0	0	0.05667	0	0.10765	0	0	0	0	0	0
TM7a	0.09414	0.17286	0.22861	0.15023	0.25288	0.58076	0	0.30256	0	0.4248	0	0.10381	0	0	0.963	0.24217	0.70924	0.08681	0.1118	0.16308	0.04675	0	0.09385	0	0	0.07363	0.42912	0.10254	0.22014	0	0.28406	0.36772	0.26281	0.25192	0.77079	0.24135
Aggregatilinea	0	0	0.74796	0	0	0.43557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19989	0	0	0	0	0.09833
Anaerolinea	0	0.04824	0.07454	0.03516	0	0.10163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0457	0	0	0	0	0.02893	0.01788	0.08862	0.16253	0.04299	0
Bdellovibrio	0	0	0	0.09269	0.06843	0	0.04615	0.09947	0	0	0	0	0	0.0615	0	0.23515	0.10826	0	0	0	0	0	0	0	0.09271	0	0	0	0	0	0.04997	0	0.11613	0.03521	0	0
Pseudobdellovibrio	0	0	0	0.0831	0.06248	0	0	0	0	0	0	0	0	0	0	0	0.02872	0	0.043	0	0	0	0	0.05874	0	0	0.06179	0	0	0	0	0	0	0	0	0
UTCFX1	0	0	0.09194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.06176	0	0.22851	0	0	0	0	0.0868	0.09704	0	0.10564	0	0.12515
Oligoflexus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02706	0.07314	0	0	0.11574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11174
Peredibacter	0.04371	0.12864	0.05964	0	0.0119	0	0	0	0	0.03939	0	0	0.04743	0.0984	0	0	0.03314	0.04823	0	0	0	0	0	0	0	0	0.06866	0	0	0	0.05786	0.07406	0	0	0	0.05363
Vampirovibrio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04341	0	0	0	0
Sphingobium	0.13449	0	0	0.22694	0	0	0	0.4352	0	0	0	0	0.06775	0.30994	0.15237	0	0.19221	0	0	0	0	0	0	0	0.47563	0.18534	0.25403	0	0	0	0.22619	0.10215	0.50729	0.18149	0.2426	0
Rhodomicrobium	0	0.0603	0.07206	0	0	0	0	0	0	0	0	0.27879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudorhodoplanes	0	0.1407	0	0.18219	0	0	0.24964	0	0	0	0	0	0	0.11807	0.15847	0	0	0.28614	0.19781	0.27819	0	0	0.11309	0	0.17332	0.05332	0	0	0	0.09065	0.31037	0	0.15585	0.51468	0.03992	0
Bauldia	1.13307	0.27336	0.66844	0.58812	0.12198	0.41379	1.38038	0.09947	0	0.15192	0	0.27879	0.16938	0.13529	0.53026	0.47031	0.17455	0.62372	0.75253	0.63313	0.54849	0.42607	0.98654	0.25753	0.38293	1.43197	0.60419	0.99843	0.8194	1.3626	0.41294	0.13279	0.11918	0.25462	0.2426	0
Thermomonas	0	0	0	0	0	0	0	0	0	0.13785	0	0	0	0	0	0	0	0	0	0.1295	0	0	0	0	0	0	0	0	0	0.06799	0	0	0	0	0	0
Arenimonas	0	0	0.22861	0.96848	0	0.61706	0.18041	0.03316	0	0.2532	0	0	0.05759	1.69976	0.66435	0.29131	0.61202	0.11253	0.215	0.50362	0	0	0.58952	0	0	0	0.2815	0.23207	0	0	0	0.64096	0.37589	0.08397	0.49135	0.18325
Pseudoxanthomonas	0	0.21306	0.39759	0.53058	0.02083	0	0	0	1.01414	0.12097	0.34943	0.19278	0.16938	0.17465	0	0.26323	0.31816	0.35046	0.81703	0	0	0	0	0	0	0	0.41194	0	0	0.2323	0.26039	0.13023	0.21086	0.15981	0.5067	0.13855
Chryseotalea	1.59033	0.37788	1.41142	0.23973	1.4191	1.76406	1.67828	0.50566	0.73285	0.24757	0.67724	0.84823	0.74526	1.08234	0.28646	0.72653	0.73133	1.96438	1.38894	2.59486	1.84181	1.01022	1.41485	0.53314	0.99964	1.15524	0.36732	2.20466	1.64697	2.93767	1.39136	0.59244	0.81593	0.19233	0.42685	0.83578
Rhodoplanes	0.1782	0.57485	0.13915	0.24292	0.17255	0.24319	0.16993	0	0	0.02251	0	0	0	0.10331	0.71311	0	0.03535	0.61407	0.52892	0.59475	0.21503	0.17868	0.40184	0	0.06449	0.12948	0.4497	0.21588	0.86425	0.20113	0.192	0.30899	0.27198	0.09481	0.13819	0
OLB12	0.40683	0	0	0	0.23801	0.25408	0.13636	0.56783	0.85128	0.26726	0.76369	0.48343	0.78591	0.7724	0	0.48084	0.29828	0	0	0	0	0	0.06978	0.28916	0.22975	0	0	0.04857	0	0.05949	0.05523	0.68948	0.11307	0.03792	0.05528	0.06704
Hassallia	0.3026	0.10854	0.55414	0.35798	0.21718	1.11434	0.71326	0.14921	0.34051	0.35729	0.1549	0.08304	0.06098	1.18565	0.21942	0.26674	0.11489	0.3215	0.2064	0.86815	0.4363	0.5051	0.94806	0.497	0.62074	0.27929	0.25403	0.28334	0.1916	0.24929	0.90478	0.82993	1.39047	0.04334	0.51898	0.59444
Ohtaekwangia	0.67918	0.13668	0.76784	0.89498	0.41056	0.86388	1.01536	0.86625	0.48856	0.64986	0.27377	0.35887	0.09824	0.77485	0.22551	0.35448	1.38974	0.97739	0.76543	0.42688	1.22476	1.00332	1.09003	1.50003	0.85855	0.56365	0.64882	0.46145	1.15368	0.4136	0.66018	0.59499	1.40574	0.39819	1.23142	1.47045
Algoriphagus	0	0	0.14412	0.90456	0.02975	0.92922	0.0944	0	0.43675	0.26163	0.09726	0	0.04743	0.13284	0.74968	0	0	0	0	0.07674	0	0	0.04091	0.10392	0	0	0.12702	0	0	0	0	0.27579	0.16502	0	0.32244	0
Emticicia	0.07061	0	0.03976	0	0.05355	0.03993	0	0.32328	0.46636	0.25601	0	0	0.13889	0.09101	0	0.30184	0.232	0	0	0	0	0	0	0	0	0.04824	0	0	0.06115	0.04249	0.01578	0	0.0489	0.02167	0	0
Adhaeribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10331	0	0	0	0	0	0.15828	0	0	0	0	0	0	0	0	0.02446	0	0	0	0	0	0	0
Pseudarcicella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01612	0	0	0	0	0	0	0	0	0	0	0
Spirosoma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Siphonobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lacihabitans	0	0	0	0	0.16363	0	0	0.41033	0	0.03376	0	0	0	0.42801	0	0.08424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05835	0
Huanghella	0	0	0	0	0	0	0	0	0	0	0	0	0.11856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Imperialibacter	0.04371	0	0	0.03836	0.13388	0	0.03776	0	0	0	0	0	0.0271	0.06888	0	0	0	0.08359	0.0301	0	0	0	0	0	0	0	0.05836	0.07556	0.21199	0.10198	0.03682	0	0	0.01625	0	0
Arcicella	0	0	0	0	0.08033	0	0	0.315	0	0.03095	0	0	0.09485	0.27058	0	0.1088	0.06407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01528	0	0	0
Runella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Persicitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dyadobacter	0	0	0.2137	0.07032	0.11603	0	0.05874	0.17408	0	0.05627	0.05764	0	0	0.13775	0	0.24568	0.45736	0	0	0	0	0	0.03369	0	0	0	0.05149	0	0	0	0.09732	0	0.07334	0	0	0
Sporocytophaga	0	0	0	0	0	0	0	0.04974	0	0	0	0	0	0.0246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chryseolinea	0.2051	0.17286	0.67838	0.6936	0.62773	0.20689	0.80975	0.23625	1.24362	0.15754	0.23776	0.17499	0.4099	0.85355	0.4693	0.2527	0.17896	0.08359	0.64072	0.58036	1.08765	1.85892	0.85661	1.47743	2.12423	0.36815	0.24716	0	0	0.11048	0.35245	0.54903	0.58064	0.53633	0.7063	0.31733
