Genus	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
Tepidisphaera	29.77316086392	0	16.4650509363291	0	17.3426104369341	0	0	7.69908584836398	0	0	0	9.44915470001539	0	0	0	0	0	0	32.9949345612274	0	0	36.5828918307383	0	7.98676496501515	0	0	0	0	0	0	0	0	7.02671089304602	0	0	0
AKYG587	23.2375889669619	0	0	0	0	0	0	0	30.7419413352874	0	0	0	0	18.7842361329135	0	0	0	0	0	0	0	0	0	0	0	5.66450637069396	0	0	0	0	0	0	0	0	0	8.1824650628579
CL500-3	75.5221641426262	36.9273134395999	111.962346367038	145.636540772335	171.774427184871	24.8489746072231	218.080778677377	40.8643787336242	102.063245233154	401.562840613281	406.461989184436	122.8390111002	16.2914134555801	66.9698853434309	31.8014790887364	0	0	0	0	0	0	31.4384226670407	0	0	11.570444378216	0	0	0	0	8.76338961813776	28.8053353315335	32.7594903884372	30.4490805365327	26.3163011352335	27.219641445288	0
Nitrospira	78.4268627634965	28.7212437863555	0	9.37264866356614	30.5560279126935	15.5306091295144	264.189286169165	29.6118686475538	87.3071133922161	11.326131401913	64.0316832276851	32.2846118917193	199.117275568201	0	0	321.47809243891	0	59.980449964347	799.641943483864	857.692725362813	877.768577757791	76.5954297706084	556.222839133547	164.091716553948	0	0	0	0	14.4433155008267	0	37.8070026226378	0	0	0	0	0
Dinghuibacter	0	0	0	0	0	3.10612182590288	58.5702662733527	10.6602727131194	0	0	0	29.1348936583808	16.2914134555801	6.53364735057863	6.54736334179867	0	0	40.5273310569912	0	0	20.178587994432	66.3064914432132	0	13.0692517609339	0	0	32.4117290457783	0	0	0	0	0	0	0	0	10.9099534171439
Terrimonas	501.786686755334	496.467214021287	411.626273408227	633.014271277774	937.326802186678	513.752550004337	902.231335785262	479.712272090371	857.085324427811	612.640744012569	1213.81799509873	404.738792983993	505.033817122984	374.868016739449	221.207347190769	340.182272362629	257.449284702148	145.898391805168	256.195962475413	214.423181340703	99.6317782225079	278.94455020938	260.525919968875	421.846404061255	458.367604213943	427.103780350325	484.929330723375	499.494494757684	401.704712366743	277.36128141406	435.680696889445	335.536598523994	573.848056265425	930.939152658887	539.699787277262	450.035578457184
Niastella	50.1060512100116	0	60.3718534332067	28.8389189648189	0	36.0310131804735	85.9861355927943	45.0100403442817	66.4025932842207	0	13.9199311364533	18.1108798416962	35.2980624870903	80.0371800445882	0	0	0	81.8652087351223	81.5168971512677	522.073832829538	180.346130200236	19.4346612850797	62.5262207925299	48.646659332365	0	0	0	0	33.4001670956618	0	28.8053353315335	29.7813548985793	9.36894785739469	25.4939167247575	22.52659981679	29.0932091123836
Haliscomenobacter	0	28.7212437863555	49.3951528089873	0	24.7751577670487	0	8.72323114709508	0	0	0	0	0	35.2980624870903	0	1.40300643038543	31.5633036212748	33.4893378474339	0	38.8175700720322	36.3587133577714	15.133940995824	11.4321536971057	14.3289255982881	10.1649735918375	0	0	0	0	0	0	0	0	0	0	0	0
Ferruginibacter	63.9033696591453	188.739602024622	103.180985867662	105.262054221589	44.5952839806877	13.6669360339727	66.0473215422913	159.90409069679	131.57550891503	321.250272490625	258.910719138031	84.2549627418039	147.527799625531	53.9025906422737	57.5232636458026	17.535168678486	0	59.980449964347	0	21.4423181340703	0	75.4522144008978	140.683996783192	76.9633714810551	21.3608203905527	69.1069777224664	97.2351871373349	177.164453609366	172.417078791119	45.1314565334095	0	63.5335571169692	201.432378933986	214.642331134249	0	42.7306508838135
Aurantisolimonas	0	0	0	0	0	0	0	0	0	0	0	3.93714779167308	158.388741929251	0	0	526.05506035458	332.800294858875	110.234340475016	135.861495252113	183.65811619182	0	87.4559757828588	252.710142369808	32.6731294023347	6.23023928057787	0	18.6990744494875	0	0	15.3359318317411	32.4060022479752	11.9125419594317	0	0	0	0
Sediminibacterium	13.0711437939161	80.0091791191331	18.660391061173	16.5823784047709	12.3875788835244	119.275078114671	44.8623316136318	87.0588938238081	47.9574284830483	45.3045256076522	167.039173637439	140.949890941896	38.0132980630203	58.8028261552076	7.01503215192714	16.3661574332536	0	0	15.5270280288129	0	0	26.8655611881985	0	16.6995994723044	28.4810938540703	82.7017930121319	56.0972233484625	0	17.1514371572317	28.9191857398546	0	0	39.0372827391445	20.5596102619012	100.431090849856	0
Gynurincola	0	0	0	11.5355675859276	22.2976419903439	0	0	10.6602727131194	0	0	0	0.787429558334616	0	0	0	0	0	0	0	0	15.133940995824	0	10.421036798755	0	0	0	0	0	0	0	0	0	0	0	0	0
Niabella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.864267774271	33.2324114667328	0	0	60.535763983296	9.71733064253987	56.013072793308	0	0	0	0	0	0	0	0	0	0	0	0	0
Puia	0	0	0	0	0	0	0	0	0	0	0	0	14.4812564049601	0	37.4135048102781	0	0	0	0	48.4782844770285	0	122.324044559031	0	0	11.570444378216	0	0	53.0712900680039	81.2436496921503	16.6504402744617	115.221341326134	20.8469484290055	49.1869762513221	0	0	0
Panacibacter	0	0	0	0	0	0	0	0	0	0	0	0	39.8234551136403	0	0	60.7885847520848	136.0504350052	38.9062378147116	71.8125046332596	0	17.656264495128	188.630536002244	102.907738387705	116.171126763857	0	0	0	0	0	0	0	0	0	0	0	0
Chitinophaga	10.8926198282634	0	16.4650509363291	0	0	6.83346801698635	83.4937838364814	26.6506817827984	0	29.8598009686798	103.007490409754	0	0	40.0185900222941	19.642090025396	29.22528113081	140.23660223613	66.4648229334656	0	27.0359663429582	50.44646998608	10.2889383273952	134.17084878397	0	53.4020509763817	116.688831236296	163.305250192191	16.3896631092365	28.8866310016534	0	0	0	0	172.70072619997	39.4215496793826	123.64613872763
Flavisolibacter	0	0	0	0	0	0	0	0	0	0	0	0	31.6777483858502	0	0	0	0	18.642572286216	0	15.8486699251824	0	0	53.4078135936193	0	0	0	0	0	0	0	0	0	0	0	0	78.187999489531
Segetibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.530130297767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lacibacter	0	0	0	5.76778379296378	18.1684490291691	0	0	40.8643787336242	22.1341977614069	0	0	4.7245773500077	113.134815663751	88.2042392328114	9.35337620256952	227.957192820318	194.65677623821	176.699163408482	244.550691453803	228.407301862923	334.20786365778	177.198382305139	269.644327167785	500.987984169132	0	11.3290127413879	0	0	0	0	54.0100037466254	0	7.02671089304602	7.40145969428443	0	0
Solitalea	0	0	0	0	14.8650946602292	0	0	0	0	0	0	5.51200690834231	0	0	0	0	0	0	0	0	0	0	10.421036798755	7.26069542274105	0	0	0	0	0	0	0	0	0	0	0	0
Parafilimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.2636655284956	0	0	0	26.8655611881985	0	0	0	0	21.1922843760858	0	0	0	0	0	7.80745654782891	0	0	0
Flavitalea	72.617465521756	49.2364179194665	42.8091324344556	64.8875676708425	47.0727997573926	40.3795837367375	90.9708391054201	39.087666614771	73.7806592046896	20.5929661852964	130.847352682661	66.1440829001077	0	0	10.756382632955	0	0	0	0	0	0	0	0	0	49.8419142446229	43.0502484172741	81.0293226144458	19.511503701472	41.5245320648768	15.3359318317411	0	0	0	47.6982958076108	39.4215496793826	121.827813158106
Paraflavitalea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.2611622199496	75.9043853672991	0	0	0	0	0	0	0	0	0	0
UTBCD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.67584339243	0	0	0	46.6137350740659	108.459910470072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavihumibacter	10.8926198282634	0	0	0	0	0	0	0	0	0	0	29.9223232167154	22.6269631327502	0	0	42.0844048283664	0	30.8007716033133	58.2263551080483	0	0	325.244772682658	0	0	0	0	52.357408458565	0	0	0	0	0	0	0	0	20.0015812647637
Agriterribacter	0	0	0	25.2340540942165	16.5167718446992	29.1975451634871	73.5243768112299	53.3013635655968	14.7561318409379	0	69.5996556822664	14.9611616083577	134.856700271191	0	4.67668810128476	0	0	0	0	0	0	18.8630536002244	0	0	24.0309229393718	84.9675955604095	44.87777867877	0	40.6218248460751	9.63972857995153	0	0	0	0	17.8335581882921	54.5497670857193
Pseudoflavitalea	0	0	0	0	0	0	0	0	0	10.2964830926482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parasegetibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.4371688730537	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phaeodactylibacter	0	94.3698010123108	0	0	29.7301893204585	0	95.9555426180458	62.1849241598629	38.1200072557563	9.2668347833834	0	0	39.8234551136403	14.7007065388019	0	88.8448546376624	0	52.6855303740886	110.630074705292	89.4983713422065	127.377336714852	84.0263296737271	227.960179972765	206.92981954812	52.512016793442	0	48.6175935686675	0	0	0	0	0	28.1068435721841	101.153282488554	82.5975326615635	129.101115436202
Pedobacter	22.5114143117444	0	19.7580611235949	0	28.9043507282235	45.9706030233627	0	15.398171696728	0	0	0	0	14.4812564049601	98.8214161775017	50.5082314938754	18.7041799237184	0	0	21.3496635396177	0	0	13.1469767516716	0	0	0	0	0	0	0	0	0	0	64.8018893469799	9.86861292571258	0	0
Daejeonella	0	0	0	23.0711351718551	0	0	0	0	0	0	0	15.7485911666923	0	28.5847071587815	0	0	0	0	0	0	0	0	0	0	0	13.5948152896655	0	0	0	0	0	0	0	0	0	32.7298602514316
Sphingobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.19084740453444	0	0	0	0	0	0
Aureispira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.28643073942114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mucilaginibacter	0	0	0	10.0936216376866	0	10.5608142080698	0	0	35.6606519489333	11.326131401913	0	0	0	8.16705918822328	0	0	0	0	0	0	0	0	6.51314799922187	0	0	14.7277165638043	0	0	0	21.4703045644375	0	0	0	36.1849140609461	21.5879914910905	0
Arcticibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.10546621139825	0	0	0	0	0	0	0	0	24.9320992659833	0	0	0	0	0	0	17.270072619997	0	34.5481858209556
TM7a	66.8080682800155	324.139751303155	137.208757802742	77.865081205011	118.920757281834	53.4252954055296	115.894356668549	148.65158061072	66.4025932842207	28.830152659415	119.711407773498	37.009189241727	76.9316746513506	130.672947011573	0	85.3378209019652	0	122.392539792114	0	32.6296145518461	0	0	89.8814423892617	233.068323069988	24.0309229393718	29.4554331276086	42.3845687521716	11.7069022208832	0	17.0886097553686	0	0	22.6416239887038	31.2506075980898	50.6848495877776	0
Aggregatilinea	218.578571220486	0	0	54.7939460331559	0	0	0	0	27.0529083750529	0	0	0	0	98.0047102586794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerolinea	21.7852396565268	0	0	7.93070271532519	5.78087014564471	18.0155065902367	74.7705526893864	8.29132322131506	0	0	33.4078347274879	8.66172514168078	0	22.8677657270252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.053421786092	0	0	0
Bdellovibrio	0	0	0	13.698486508289	0	23.6065258768619	16.2002864160337	0	0	0	0	22.8354571917039	20.8168060821302	0	10.2887138228265	28.0562698855776	0	0	0	0	0	14.2901921213822	87.276183189573	35.5774075714311	0	0	0	0	0	0	0	22.8323720889108	0	0	0	0
Pseudobdellovibrio	0	0	19.7580611235949	0	0	0	0	0	0	0	0	20.4731685167	19.0066490315101	0	0	0	0	0	0	0	0	0	0	9.43890404956336	0	11.3290127413879	0	0	0	0	23.404334956871	0	0	0	0	0
UTCFX1	26.8684622430497	0	0	23.7921081459756	31.3818665049284	0	48.6008592481011	0	34.4309742955218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	423.078362681899	0	70.2671089304602	0	0	0
Oligoflexus	0	24.6182089597333	0	0	0	0	0	0	30.7419413352874	0	0	0	0	0	0	0	0	0	0	0	0	6.28768453340815	0	0	32.041230585829	0	0	0	0	0	0	0	0	0	0	0
Peredibacter	17.4281917252214	0	21.9534012484388	15.8614054306504	23.9493191748138	0	0	0	14.7561318409379	13.3854280204427	89.087559273301	0	3.62031410124003	0	0	0	0	11.3476526959575	0	0	17.656264495128	22.8643073942115	0	10.8910431341116	13.3505127440954	0	0	0	0	0	0	0	0	0	0	0
Vampirovibrio	0	0	0	0	14.0392560679943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobium	0	51.2879353327776	81.2275846192235	62.0036757743606	33.0335436893983	103.123244619976	83.4937838364814	46.786752463135	0	41.1859323705929	0	55.9074986417577	0	0	0	122.746180749402	0	0	0	0	25.22323499304	72.0225682917661	0	63.1680501778471	0	0	0	0	0	0	0	117.139995934412	56.994432799151	0	0	0
Rhodomicrobium	21.0590650013092	0	0	0	0	0	0	0	0	0	41.7597934093599	0	0	0	0	0	0	0	0	87.6338219392439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudorhodoplanes	0	53.3394527460887	0	85.0748109462157	0	31.6824426242094	236.773416849723	7.69908584836398	0	0	97.439517955173	44.8834848250731	0	0	55.6525884052887	0	0	0	0	0	0	27.4371688730537	0	0	79.2130422816329	52.1134586103845	72.3030878713516	0	0	20.5939656026237	0	42.6866086879637	16.3956587504407	0	0	29.0932091123836
Bauldia	195.340982253524	178.482014958066	193.189930986261	113.192756936914	42.9436067962178	24.2277502420425	117.140532546705	46.786752463135	0	346.991480222245	189.311063455765	144.887038733569	37.1082195377103	93.1044747457454	307.726077064537	28.0562698855776	0	43.7695175415505	0	87.6338219392439	63.0580874826	31.4384226670407	174.552366379146	57.3594938396543	172.666631490301	198.257722974289	164.55185515549	137.360986058363	111.935695131407	179.649487171824	102.619007118588	94.3076238455012	440.34054929755	304.282231876138	188.660273465617	437.307299470516
Thermomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.7167844358514	0	0	0	0	0	0	0	0	33.6583340090775	0	0	0	0	0	0	0	0	21.8199068342877
Arenimonas	66.8080682800155	223.61539805091	90.008945118599	0	207.285486650975	76.410596917211	38.6314522228496	94.7579796721721	50.4167837898713	0	0	238.591156175389	0	138.840006199796	40.219517671049	9.3520899618592	0	72.9491959025842	0	0	21.439749744084	394.980910235003	108.118256787083	201.121263209927	31.1511964028893	56.6450637069396	130.893521146412	0	0	107.351522822188	0	0	0	70.7250593009401	0	0
Pseudoxanthomonas	116.18794483481	0	131.720407490633	71.3763244379267	42.1177682039829	42.8644811974598	73.5243768112299	97.7191665369275	38.1200072557563	0	147.551270046405	130.713306683546	6.33554967717005	0	0	0	286.752455318653	34.8535047090125	188.265214849356	60.5978555962857	63.0580874826	40.5841456247253	97.697219988328	104.554014087471	97.0137259404268	215.251242086371	0	0	0	0	0	0	0	0	0	74.5513483504831
Chryseotalea	412.467204163574	96.4213184256219	117.450696679148	381.39470330973	191.59455339851	165.866905503214	88.4784873491072	82.3209948401995	229.949721187949	487.023650282261	261.694705365322	59.0572168750962	431.722456572873	396.919076547652	374.135048102781	142.619371918353	207.215277930998	71.3281026603046	364.885158677103	266.630564623657	277.45558492344	251.507381336326	269.644327167785	240.329018492729	543.810885776154	365.92711154683	674.413285144849	461.251947502799	265.395922327691	257.64365477325	212.43934807006	246.192533828256	355.239272926215	671.888063358931	379.197763582632	942.801807798182
Rhodoplanes	40.6657806921834	240.027537357399	143.794778177274	52.6310271107945	99.9264696604299	55.2889685010714	43.6161557354754	26.6506817827984	0	54.5713603910356	398.110030502564	59.8446464334308	52.4945544679804	54.719296561096	37.8811736204066	0	0	6.4843729691186	0	0	0	24.007522763922	0	11.6171126763857	169.996528941482	139.346856719072	154.579015449097	53.8517502160628	46.9407753776868	73.1743033114503	0	15.8833892792423	39.8180283939274	65.7907528380839	198.984965048312	64.5505577181012
OLB12	0	0	0	15.1404324565299	222.976419903439	22.9853015116813	17.4464622941902	10.6602727131194	18.4451648011724	124.587445421043	0	0	72.4062820248005	57.169414317563	30.398472658351	160.154540596839	240.704615778432	77.0019290082833	411.466242763542	151.960776341455	292.589525919264	179.48481304456	178.460255178679	98.0193882070041	0	0	0	0	0	12.7069149462997	115.221341326134	56.5845743073007	0	14.8029193885689	0	19.0924184800018
