Genus	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SM1A02	575.71247503427	1019.97818056494	483.651094876703	810.194255504696	1440.38292612524	518.522510528951	378.475441701027	262.530470592469	518.672646157726	490.788266988508	191.243199767374	535.728778512675	871.942893926712	401.091397394395	1316.1351385417	433.070285918583	708.195571564755	449.437695288007	1287.97891101085	997.332813919338	899.194966532439	765.917145478016	343.785500513837	358.858763563057	1085.19070010081	1237.15409857102	832.177985474952	1756.75959577372	728.184641108713	726.409465464805	1451.15998148675	1316.10430360757	1307.36562167981	1107.74565315997	2173.5637591431	2559.4385160509
Urania-1B-19 marine sediment group	36.6450151613103	0	3.43014960905463	0	0	8.03344734622319	12.7678462260587	0	35.3640440562086	0	0	0	0	0	17.7856099802932	0	0	0	0	0	0	0	0	0	0	0	0	46.32080965419	52.2464316490556	42.8199263852937	0	18.0478438258422	12.4964397156468	0	4.06368545761738	0
AKYG587	228.549173506067	82.0748179039926	59.6846031975506	173.532566547598	76.1915401728718	105.895442291124	67.4871871948819	66.3383447196023	398.266496156826	9.20670630714372	9.56215998836872	46.3087588205871	62.630226522721	279.961795381287	431.936242378549	25.4067901072235	102.84623587055	21.4017950137146	49.0200928817562	141.522460877443	135.507425096206	277.766628516465	29.8181301466083	43.9074251888916	221.577782391101	193.458657906856	285.862666766205	447.76782665717	358.105750261235	379.262205126887	277.564617768325	413.71211231546	213.034543723884	14.3470807157734	239.249481317223	194.831962687562
I-8	28.9302751273503	0	0	20.2830272588102	0	8.76376074133439	0	7.05727071485131	0	7.08208177472594	0	0	186.263920437703	0	33.8773523434156	30.0262064903551	23.4561590581957	0	65.3601238423416	281.709804199438	275.501851023412	493.391396744881	726.159169452697	578.395889507515	0	15.4206176592421	0	17.1558554274778	7.61927128215395	27.5270955334031	381.884205654407	0	22.0175366418539	12.8368616930604	0	49.6155929825469
Ferruginibacter	887.195103905408	1654.73423193533	832.154295156654	1080.6346189555	1004.27706285004	260.721882054698	555.401310833555	2446.05002976746	1481.07984511598	2674.19407813651	1801.363831655	753.652349433085	1267.24536262856	1225.73531043727	1174.69719250794	302.571773095117	285.082548553456	589.178827436378	321.994727752712	236.315807314221	87.9452162876038	830.305097101779	851.57071683402	717.717527126113	876.04289086823	753.507453803877	1397.55081530145	2669.45110451554	2402.24738853054	1680.68211062278	590.52338142657	1035.66857646756	2450.49232138255	2566.61722910072	426.179012367623	626.850662559983
Rhodoferax	242.049968565497	453.397179550282	239.424442712013	1239.51833248284	899.785807755819	1603.76821566419	1142.72223723226	815.820494636812	2690.19335141873	162.179672641224	37.5130891851388	887.130536621836	1429.10789610936	711.536138977656	108.40752749893	1404.30258047199	392.43958424289	220.312595729415	883.322850163411	923.901348369721	1408.02086076786	2213.89735990078	2320.5521284684	1475.96498519582	193.475234380522	192.757720740527	0	94.3572048511277	72.9273108434735	240.097444374683	1058.09867713026	2032.46487392562	201.133172566125	84.5722652719271	313.411740918741	370.301742747789
Undibacterium	0	48.9801332652859	2.74411968724371	0	0	0	0	0	0	0	0	0	22.774627826444	0	0	199.78975857044	86.6073565225688	144.776848622187	339.295937005097	0	40.3830074790017	42.6757353785405	0	0	30.2642824729308	0	0	0	0	0	74.5139913472013	0	2.97534278943971	34.7350375223986	0	53.2460022251723
mle1-7	0	48.9801332652859	49.3941543703867	389.88485730824	595.745280780264	513.410316763173	1213.85738049173	385.326981030882	559.930697556637	9.91491448461631	8.82660922003266	23.6083868497111	106.552723045149	412.321956521438	12.7040071287809	601.678983902885	446.569182069495	195.134013360339	1251.45413592248	839.788942376524	936.88577351284	41.9270382666363	28.0641224909255	27.8643275237197	7.02563700264465	1.40187433265838	12.7050074118313	13.7246843419822	14.1500752382859	9.17569851113437	26.0798969715205	31.9308006149516	10.711234041983	0	0	10.8912277278762
Fimbriiglobus	611.393147691336	413.021664291059	921.338184992074	226.493804390047	443.36220043452	422.851455769384	325.580078764498	645.03454333741	286.280356645498	560.900876558294	470.752491735075	373.194115201202	1934.21660611728	528.638461765812	1290.72712428413	3532.69867899986	4865.34868464806	1233.75053608472	5687.29195257552	4604.82044873868	4295.85459559959	3608.72007937834	1817.15193128743	2213.1031042324	1146.25969866225	830.610542100088	2293.25383783555	1061.94745096087	2045.23010559532	686.648105249889	519.735089646729	1500.74762890273	931.877361652519	944.641998706972	1170.84937247601	577.235069577436
MND1	3101.32549365195	4703.41658085299	4918.14850946253	5528.25176287349	3887.21981624832	6486.64357537767	7393.49495390416	3119.31365596428	5957.9994224222	2823.62600358323	5155.47533526741	3612.99120288463	1898.42790524715	6342.85935839496	5249.29574561225	4514.32466041531	909.377243486972	1972.74192861711	6253.42596644521	6060.09858417654	4477.12942917199	2470.70046928392	897.174915881774	1395.74949686996	4976.31273233477	6832.03456021059	8207.43478804304	7656.65827728333	8382.28687769536	6634.03002355015	14358.8461326057	8687.95435862466	4501.69364042229	8023.03855816273	5731.32037728711	5340.33199590194
Acidibacter	4974.07863689576	3522.59823294394	5751.67486446281	3425.5779370435	3838.60235728087	6059.41023923762	14774.2220615823	8385.44906338633	9448.0937703504	4674.88217949659	8566.2242480417	4353.02332913519	1155.81236219203	3131.72163085543	10035.3186979283	465.406200600504	987.86516033555	555.187741238126	822.768617780065	1188.25462434834	379.600270302616	660.350852699522	399.913745495688	195.894666227363	5738.32413031392	12376.4475458745	5602.90826861762	27174.8749971248	21798.7351382424	12613.5268866394	22197.7180223313	21036.8444225375	8899.84535177208	2276.65517673982	3098.56016143325	1979.78317364504
Limnobacter	730.007275713472	197.244320446692	209.239126152333	103.668805989474	554.384158972134	1320.40661836105	469.674343315732	886.393201785325	418.474521331802	3576.4512962366	303.046916554455	542.08488266452	10.5739343479918	133.162343934939	7.62240427726851	547.400841401089	257.115589676376	736.473534295473	0	116.155227323939	30.5116056508013	183.430792416534	2.63101148352426	865.48290035796	1544.01883973506	1607.94985955916	0	120.090987992344	35.9194217587257	30.5856617037812	65.1997424288011	195.749690726442	1761.9979999062	21.1430663179818	93.9727262074019	119.803505006638
CL500-3	1235.32274793786	486.491864188988	1298.65464198808	2220.99148483971	2604.29940648035	314.034759897815	1973.54423094222	733.956154344536	1420.45576959105	6259.14387250278	2773.76194739526	2151.08724796021	189.517438698623	1088.56205252839	398.905823843719	84.3043489921508	284.180388589679	33.9910861982526	421.957270099823	0	43.0752079776019	447.720872918723	172.76975408476	28.7087010850445	205.905207539047	131.075250103558	387.502726060855	202.439094044238	264.497560223344	237.038878204305	532.775038132489	912.110261044487	695.635144171005	371.513879587394	507.45272151997	284.382057338988
Leptothrix	0	195.258639368369	30.8713464814917	0	139.321673458966	498.804048860949	181.485814213264	604.102373191272	300.594374477773	60.9059032626431	33.0997845751225	735.492051856384	2339.27962960189	142.788537472404	54.203763749465	1391.59918541838	2265.32366904344	754.098541953826	3611.14684228937	3020.03591042241	2821.42612253292	1296.74339781811	350.801531136569	119.056672146802	93.4950154967327	77.8040254625399	0	156.118284390048	62.0426375832536	36.7027940445375	281.290317335685	6.9414783945547	0.595068557887943	34.7350375223986	38.6050118473651	39.9345016688792
Peredibacter	333.662506468773	281.966713121781	298.423015987753	409.041049719339	315.650666430469	472.512766636946	287.276540086322	304.874094881577	370.480461541233	254.954943890134	445.008214843313	217.92357092041	127.700591741132	338.521139400869	68.6016384954166	325.668855010775	331.09270670607	191.357226004978	199.925084694221	144.192695988338	198.325436730209	283.756205411699	216.619945476831	261.7558040107	232.386454702862	89.0190201238069	266.805155648458	207.585850672481	161.093164251255	188.101819478255	145.302283127043	211.020943194463	254.68934277604	73.2456226015798	164.579261033504	70.1879120240907
Rhodocytophaga	0	0	1.37205984362185	0	0	0	0	0	0	3.54104088736297	0	0	45.549255652888	0	0	0	0	0	20.184744127782	37.3832915525321	0	0	35.0801531136569	0	0	0	0	0	0	0	0	0	0	0	0	0
Spirosoma	0	0	0	0	0	0	0	0	0	17.7052044368148	0	0	5.693656956611	0	0	0	20.7496791668654	64.2053850411438	4.80589145899571	5.3404702217903	202.812437561209	63.6392545118586	145.582635421676	119.056672146802	8.64693784940881	0	0	0	4.35386930408797	0	0	0	0	10.5715331589909	0	87.1298218230092
Runella	13.5007950594301	6.61893692774134	21.2669275761387	11.2683484771168	34.1047846488093	20.4487750631136	0	36.6978077172268	0	36.1186170511023	9.56215998836872	10.8961785460205	43.9224965224277	6.41746235831031	0	84.3043489921508	58.6403976454893	59.1696685673286	134.56496085188	144.192695988338	193.838435899208	106.314989890399	43.8501913920711	191.672798420739	6.4852033870566	0	0	0	0	0	0	0	0	0	3.55572477541521	0
Cytophaga	14.4651375636751	86.0461800606374	53.5103339012523	15.7756878679635	89.2529470596498	97.1316815497894	9.11989016147053	25.4061745734647	5.89400734270144	23.3708698565956	76.4972799069497	96.2495771565144	25.2147665221344	22.4611182540861	88.0811160928806	498.896969378208	123.595915037416	524.973442395235	203.769797861418	145.527813543786	0	703.775285189966	53.4972334983267	66.7055113446623	66.4733347173302	18.2243663245589	127.050074118313	0	155.650827621145	128.459779155881	270.113218633605	190.196508010799	60.6969929045702	22.6532853406948	145.276755109821	96.8109131366769
Sporocytophaga	35.6806726570653	43.6849837230928	67.2309323374708	16.9025227156752	4.35380229559267	25.560968828892	88.4629345662641	0	14.3140178322749	14.8723717269245	57.3729599302123	0	143.968183045735	12.8349247166206	0	133.963075110815	18.0431992755352	70.5000306334128	127.836712809286	212.283691316164	46.664808642402	138.508965702281	21.9250956960355	0	66.4733347173302	13.3178061602546	0	0	32.6540197806598	0	1.86284978368003	83.2977407346564	25.5879479891815	49.8372277495285	15.7467811482674	41.1446380830877
Hydrogenispora	301.839203828688	449.425817393637	336.154661687354	363.967655810872	334.517143044704	102.243875315568	1132.69035805464	503.889129040384	338.484421680854	311.611598087941	1421.81963519359	625.622251517344	22.774627826444	466.870386567075	80.4587118156121	3.46456228734867	3.60863985510703	13.8482203029918	2.88353487539742	0	9.87140182820043	6.73827400713797	7.89303445057279	4.2218678066242	271.297675025201	253.038317044837	19.057511117747	94.3572048511277	855.535318253286	41.2906433001047	322.273012576646	677.488291308538	121.989054367028	453.820816325252	82.7975911989541	851.936035602757
Nitrolancea	72.3256878183757	0	32.2434063251135	18.0293575633868	6.53070344338901	12.4153277168904	15.5038132744999	0	29.4700367135072	99.1491448461631	12.5043630617129	0	0	40.1091397394395	0	15.0131032451775	0	44.062519145883	6.72824804259399	69.4261128832739	4.48700083100019	6.73827400713797	0	0	0	0	0	0	3.26540197806598	0	0	0	5.95068557887943	0	0	0
Parerythrobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75400765568284	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloronema	0	0	0	0	0	0	0	0	0	0	0	8.17213390951538	8.94717521753157	0	0	3.46456228734867	4.51079981888379	0	0	62.750525106036	0	3.7434855595211	3.50801531136569	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Chloroploca	74.2543728268657	9.26651169883787	27.4411968724371	18.0293575633868	7.98197087525323	5.84250716088959	87.5509455501171	14.1145414297026	23.5760293708057	66.5715686824238	48.5463507101796	0	22.774627826444	20.0545698697197	9.31627189443929	0	4.51079981888379	13.8482203029918	4.80589145899571	20.0267633317136	0	0	0	0	0	0	0	0	0	7.64641542594531	0	0	10.116165484095	0	0	0
Herpetosiphon	0	0	0	11.2683484771168	33.3791509328772	32.8641027800039	0	0	0	19.8298289692326	16.1821169033932	12.7122083036906	0	16.8458386905646	33.8773523434156	66.9815375554075	31.5755987321865	17.6250076583532	6.72824804259399	0	6.28180116340027	4.49218267142532	0	100.480453797656	0	0	0	0	0	29.0563786185922	0	0	5.95068557887943	0	0	0
Oscillochloris	0	0	0	0	4.35380229559267	0	0	0	0	38.9514497609927	0	0	183.823781742012	6.41746235831031	0	25.4067901072235	89.3138364138991	13.8482203029918	10.5729612097906	0	0	0	19.2940842125113	0	3.2426016935283	0	0	0	0	0	0	0	0	0	0	0
FFCH7168	44.3597551952704	5.9570432349672	30.8713464814917	0	2.90253486372845	1.4606267902224	64.7512201464408	12.7030872867324	0	40.3678661159379	2.20665230500817	0	182.197022611552	13.6371075114094	32.1834847262448	13.8582491493947	75.7814369572477	73.0178888703204	94.1954725963158	46.7291144406651	8.97400166200039	41.1783411547321	49.1122143591196	0	143.214908130833	11.9159318275962	0	12.0090987992344	34.8309544327038	32.1149447889703	18.6284978368003	23.601026541486	70.8131583886652	90.6131413627791	5.5875675042239	108.912277278762
Sphaerobacter	59.7892352631905	29.1233224820619	61.0566630411724	37.1855499744853	39.184220660334	35.7853563604487	117.64658308297	62.1039822906915	52.2040650353556	31.1611598087941	50.0174522468518	39.0446397899068	0	43.3178709185946	22.8672128318055	0	0	0	0	0	0	0	0	0	9.18737146499686	9.81312032860863	0	13.7246843419822	69.6619088654075	32.1149447889703	52.1597939430409	70.8030796244579	33.3238392417248	21.8981758293383	0	60.5068207104231
Roseiflexus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.60863985510703	0	0	0	3.58960066480015	10.4817595666591	0	0	0	0	0	0	0	0	0	0	4.1654799052156	0	0	0
Oleiharenicola	4180.42475590211	1738.79473091765	3030.88019456067	3308.38711288148	3203.67285584027	1948.47613815668	2364.78751886931	1363.46470210927	3632.392525202	7317.20688964684	2931.16981181918	4323.05883813363	5368.30513051894	5774.11175688971	9777.85082011833	6442.93100037273	4803.09964714746	6759.19043697845	8200.77318563027	10227.0004747284	5613.23803958124	5146.5439472296	2707.31081654647	3715.24366982929	7811.42747970968	4031.79058072549	6066.64103914946	8076.97673525653	6974.89862514893	9195.57919124183	16715.3511089609	9834.6865894051	12348.8627132906	6947.76261399109	5352.38170836429	11170.7692395583
Aquihabitans	1033.77516455065	229.01521769985	347.131140436329	1188.81076433582	404.177979774186	376.841711877379	133.15039635747	407.910247318406	735.908916788722	2300.96836860846	195.656504377391	267.864389256337	105.739343479919	1621.21142826814	686.863318762751	200.944612666223	172.312553081361	383.973381128409	70.1660153013373	109.479639546701	110.380220442605	214.127374004607	174.523761740443	260.911430449375	167.534420832296	423.366048462829	196.927614883386	60.0454939961722	57.6887682791656	627.006064927516	0	51.3669401197048	755.737068517688	84.5722652719271	143.752873063215	130.694732734514
Acidiferrimicrobium	1299.93369572227	1521.69359968773	1890.69846451091	848.506640326893	1206.7288695951	1066.98787025746	1116.27455576399	707.138525628101	1460.871819941	1474.48942549794	1073.90412177064	910.738923471547	2390.52254221139	2080.86216968212	6246.98377212584	1816.58549266648	1881.00352447454	2052.05446307969	1903.1330177623	3759.69103614037	4127.14336435398	1594.72484835599	1704.89544132372	2618.40241366833	1787.21396674968	1755.14666448829	1429.31333383102	3703.94918679245	1953.79885020948	5176.62324336498	1915.00957762307	2797.41579300554	4971.20273259588	2503.94313965813	1544.2004738946	1271.85337133309
Thermomicrobium	0	0	0	0	0	0	0	0	0	0	0	4.54007439417521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iamia	1597.91552953398	736.687680057611	1732.22555257259	2386.63620745333	661.777948930086	2049.98970007713	295.484441231645	685.966713483547	1219.21751889024	4037.49481977126	124.308079848793	2081.17010228992	863.809098274411	3184.66569531149	3116.71641559424	1182.57059408168	709.999891492309	2745.72440734774	1264.91063200767	1369.83061188921	1364.04825262406	1276.52857579669	2645.04354476973	1831.44625451358	324.800602968418	1086.45260781024	451.027763120012	641.628992987669	259.055223593234	3225.25802666373	203.050626421124	208.244351836641	3250.26446318394	365.473003496542	328.650561384806	121.013641420846
Coprothermobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.70216807794025	0	0	0	11.9731405862419	0	0	0	0	0	0	52.0358658109638
GW2011 GWC1 47 15	3.85737001698004	0	0	0	43.5380229559267	0	4.55994508073526	0	0	0	4.41330461001633	0	0	0	2.54080142575617	124.724242344552	0	0	72.0883718849356	50.7344671070078	14.3584026592006	0	4.38501913920711	41.3743045049171	24.3195127014623	58.1777848053226	0	0	38.0963564107697	6.11713234075625	9.31424891840016	0	0	0	203.692233563071	76.2385940951331
Rubrobacter	0	4.63325584941894	0	0	5.8050697274569	8.76376074133439	14.5918242583528	5.64581657188105	5.05200629374409	14.1641635494519	13.239913830049	8.17213390951538	17.080970869833	13.6371075114094	17.7856099802932	26.5616442030064	71.2706371383639	266.892973112206	44.2142014227605	0	43.0752079776019	17.220033573797	21.9250956960355	0	20.5364773923459	28.0374866531675	38.115022235494	0	0	0	0	0	40.4646619363801	5.28576657949545	9.14329227963911	0
Methylocaldum	49.1814677164954	37.0660467953515	39.7897354650337	155.503208984211	60.9532321382974	73.7616529062311	423.162903492233	28.2290828594052	192.818240211233	60.1976950851705	41.9263937951551	23.6083868497111	0	156.425644983814	55.8976313666357	0	0	0	0	6.67558777723787	0	4.49218267142532	1.75400765568284	0	8.10650423382076	4.20562299797513	0	87.4948626801366	190.481782053849	30.5856617037812	78.2396909145614	74.9679666611907	116.633437346037	12.0817521817039	0	18.1520462131269
Candidatus Omnitrophus	55.9318652462105	63.5417945063168	18.522807888895	92.4004575123575	107.393789957953	82.5254136475655	123.118517179852	18.3489038586134	85.0421059446922	339.231717009372	94.8860491153511	178.878931130503	412.383439571682	84.2291934528229	81.3056456241975	684.828478799253	157.877993660933	137.223273911464	789.127377567095	1903.87763406824	1131.62160957825	545.800194578176	616.533690972519	303.130108515617	148.078810671126	70.794653799248	184.222607471554	128.668915706083	37.0078890847477	84.1105696853984	67.0625922124812	106.898767276142	155.312893608753	88.3478128287096	113.275232131084	308.584785623158
Acinetobacter	5.78605502547005	10.5902990843861	12.3485385925967	0	6.53070344338901	5.84250716088959	0	5.64581657188105	0	4.95745724230816	0	0	64.2569856531812	33.6916773811291	0	420.366890864971	11.7280795290979	0	1142.84098894918	165.554576875499	597.668510689226	130.273297471334	1873.28017626928	1379.70639920479	6.4852033870566	11.9159318275962	0	0	0	0	27.9427467552005	369.28665059031	24.3978108734057	0	224.010660851158	759.965668122914
P3OB-42	335.591191477263	345.508507628098	323.806123094757	247.903666496569	230.751521666412	94.9407413644558	476.970255444909	237.124296019004	245.022305246588	111.188683863197	642.871371525712	542.992897543355	592.953703052774	235.039558873115	236.294532595324	332.597979585472	424.917342938853	439.366262340376	482.511502483169	554.073785510743	322.166659665814	152.734210828461	405.175768462737	219.537125944458	1023.58126792377	546.030052570437	387.502726060855	914.407094284565	729.273108434735	380.791488212077	1104.66992172226	617.791577115368	536.156770657037	627.496003937245	664.412572320442	624.430389731566
Candidatus Nitrosoarchaeum	131.150580577321	381.250767037901	385.548816057741	176.913071090733	481.820787378922	125.613903959126	245.325045343557	193.369217586926	258.494322029906	201.131122402217	251.558362770931	402.250591323924	216.358964351218	245.46793520537	555.588578432016	300.262064903551	290.495508336116	93.1607547655812	461.365580063588	165.554576875499	99.6114184482043	314.452786999772	420.961837363882	114.834804340178	397.218707457217	135.280873101533	44.4675259414096	265.915759125905	1080.84805473984	171.279705541175	892.305046382736	1314.71600792866	416.54799052156	166.879202009785	221.978818122349	128.274459906097
Pir4 lineage	2004.86806632537	1806.96978127339	1739.0858517907	1792.79424270928	1275.66407260865	825.254136475655	2388.49923328913	1116.46022708948	1278.99959336621	5987.19193235331	1754.28858248149	1579.03787429414	1291.64674958547	1829.77895491323	1595.62329537488	1552.1239047322	2316.74678697872	1635.34892487149	2635.55087611325	1769.03076096804	1616.21769932627	1923.40288048194	1831.18399253289	1222.65291679837	983.048746754664	693.226857499567	584.430340944241	883.526554515105	764.104062867439	1020.0318178211	471.300995271048	1303.60964249737	1260.35520560666	1096.41901048963	518.627856528418	1409.80892255286
Pedomicrobium	2448.46561827808	2368.91752643862	2261.84065221062	2521.85638917873	1691.45219183775	1037.0450210579	3248.5048755158	2053.66577802173	1465.08182518579	3292.45981707009	3045.9157316796	1811.48968327591	1843.1180948115	2045.56612671141	2539.95449194759	1125.98274338832	1387.52202428865	1207.31302459719	1944.46368430966	1377.8413172219	1184.56821938405	805.59809240894	1325.15278386839	861.261032551336	2354.12882950155	3300.01217907782	1772.34853395047	4548.01727382436	5267.09339062042	2508.02425971006	2499.9444096986	4673.00325521422	1802.46266184258	2184.53181635433	2175.59560187191	1977.36290081663
SWB02	6264.36890757558	9180.46551877724	6084.39937654111	11991.7764493477	6765.80876735101	6196.70915751852	10483.3137406104	5599.23858516303	5038.53427696077	2459.60700036232	3813.09518305411	5890.29251900292	4442.67918528704	6487.25226145694	27422.8697881863	3828.34132752027	5360.6345047615	3016.39416781531	8499.69963437981	8181.60037978274	6468.46039796988	3515.88163750221	3569.40557931459	3057.47666555724	21141.2226081889	21799.1458728377	17551.967739445	44301.5654703758	31624.329690243	24829.4401711296	32706.0536520703	24696.3918321467	23717.6475117397	26312.5460327283	23458.6402254607	13459.1371988265
